"movieid";"rank";"votes";"distribution"
1730640;"6.5";23875;"0000022100"
1730836;"7.6";613;"0000001222"
1730975;"8.2";118072;"0000001222"
1731412;"6.4";5819;"0000122100"
1731505;"6.9";754;"0000013211"
1731582;"5.3";8321;"0001221000"
1732344;"7.2";5519;"0000001212"
1732496;"6.6";84708;"0000023100"
1732658;"6.7";75627;"0000012200"
1732858;"6.0";11659;"0000122100"
1733111;"7.9";4351;"0000001222"
1733479;"8.6";289826;"0000001223"
1733566;"7.5";144908;"0000002311"
1734162;"5.9";7588;"0000122101"
1734321;"6.6";22239;"0000023100"
1734369;"7.9";4590;"1000000223"
1734803;"6.3";35357;"0000122100"
1735791;"6.9";65;"0.00012102"
1736211;"7.1";54636;"0000012210"
1736268;"6.4";221372;"0000012101"
1736362;"5.2";6339;"0001221000"
1736592;"7.6";89339;"0000001212"
1736794;"5.7";46319;"0000121000"
1737340;"8.0";42743;"0000001222"
1737713;"6.7";1443;"0000012200"
1737766;"6.7";16502;"0000012101"
1738481;"7.7";164832;"0000002311"
1739234;"6.9";594;"0000013200"
1740732;"4.8";1382;"0011211000"
1740752;"6.1";43556;"0000122100"
1740811;"7.4";21194;"0000012211"
1741487;"6.9";7;"1..1.1.112"
1741682;"5.7";8823;"0000121100"
1742509;"7.4";8070;"0000012211"
1743028;"4.5";7251;"1011110001"
1743689;"6.9";3057;"0000012211"
1743852;"5.7";2942;"0000121000"
1744178;"5.7";497;"0000111101"
1744391;"7.7";6159;"0000001113"
1744809;"7.0";129438;"0000013200"
1744811;"6.6";131673;"0000012100"
1745373;"7.7";14;"1...000.15"
1745406;"5.1";15078;"0001111000"
1745530;"4.1";475;"0112110000"
1746382;"7.6";60066;"0000002311"
1746829;"6.7";377;"0000011102"
1747382;"6.8";529;"0000001212"
1747494;"3.3";2151;"1110000001"
1747545;"5.9";2426;"0000122100"
1747649;"6.4";37478;"0000012101"
1747899;"7.8";11775;"0000001222"
1748196;"6.9";67343;"0000012111"
1748219;"5.9";17075;"0000121000"
1748315;"7.2";3240;"0000012112"
1748317;"6.0";1689;"0000121101"
1748754;"2.3";13378;"4100000000"
1748996;"4.8";1930;"0001210000"
1749026;"5.6";79;"1000111001"
1749222;"8.1";15256;"0000000223"
1749247;"6.0";21317;"0000122100"
1749683;"6.3";15426;"0000122100"
1749731;"8.5";401588;"0000001222"
1749735;"7.7";189635;"0000002211"
1749737;"7.3";157823;"0000012211"
1749806;"6.4";3759;"0000023100"
1749891;"6.6";43150;"0000023100"
1750364;"6.7";108596;"0000013100"
1750424;"5.2";1820;"0001221000"
1750510;"4.8";7410;"0001221000"
1750660;"7.0";21032;"0000012211"
1750728;"5.2";2502;"0001111001"
1750816;"6.7";27373;"0000012101"
1751059;"7.5";3069;"0000001211"
1751071;"7.9";30676;"0000002311"
1751872;"5.6";6874;"0000121000"
1753266;"6.8";17635;"0000012101"
1753348;"7.4";54114;"0000012211"
1753400;"6.2";7191;"0000011111"
1753578;"7.0";19670;"0000013200"
1753695;"5.6";1689;"0000111003"
1753837;"7.3";2282;"0000002211"
1753860;"5.9";2326;"0000011101"
1754754;"8.3";18054;"0000000223"
1754799;"3.1";16200;"2111100000"
1754884;"5.8";16738;"0000121100"
1755112;"6.7";3411;"0000012211"
1755524;"6.9";7750;"0000012201"
1755813;"6.8";234;"0000001113"
1756051;"2.3";2298;"4000000001"
1756391;"8.1";64894;"0000001222"
1756768;"6.9";92737;"0000013200"
1756902;"6.7";11862;"0000012201"
1756980;"7.2";2700;"0000002212"
1757342;"3.6";132701;"2111100000"
1757347;"7.6";187158;"0000002311"
1757367;"5.4";131620;"0001221000"
1757378;"7.0";143721;"0000012200"
1757423;"7.6";18714;"0000001212"
1757465;"6.5";181;"0000012210"
1757485;"3.5";6934;"1111100000"
1757698;"5.3";15164;"0001221000"
1757893;"2.4";52490;"5100000000"
1758003;"7.1";1263;"0000013200"
1758767;"5.5";925;"0001221000"
1758856;"6.0";52037;"0000122100"
1759189;"6.5";4502;"0000122100"
1759448;"4.6";2624;"0000111001"
1759573;"7.1";21052;"0000012211"
1759654;"6.2";1909;"0000012210"
1759685;"7.5";13201;"0000001113"
1759851;"8.0";174997;"0000001212"
1759983;"6.6";33195;"0000012101"
1760306;"5.7";5332;"0000121101"
1760386;"6.8";16638;"0000012101"
1760449;"6.2";2359;"0000012210"
1760586;"6.8";676;"0000012211"
1760752;"7.4";119024;"0000012211"
1760876;"8.0";88775;"0000001222"
1760927;"6.0";4998;"0000132000"
1760978;"7.8";8307;"0000001213"
