"movieid";"rank";"votes";"distribution"
2046902;"6.2";8905;"0000122100"
2047096;"6.3";4562;"0000122100"
2047331;"6.7";32502;"0000022100"
2047593;"5.2";10015;"0001111000"
2047641;"6.6";5686;"0000012101"
2048384;"5.5";16301;"0001111001"
2048413;"6.3";1730;"0000112101"
2048611;"5.0";12784;"0001111001"
2048619;"8.2";249056;"0000001222"
2048622;"5.6";35010;"0000221000"
2048624;"3.5";20149;"1121100000"
2049321;"7.9";14907;"0000001222"
2049438;"6.5";553;"0000012110"
2049814;"5.6";1958;"0001221000"
2049822;"6.2";4001;"0000011111"
2050120;"6.1";8980;"0000122100"
2050380;"7.5";14416;"0000002311"
2050532;"7.2";129973;"0000012210"
2050561;"6.5";1163;"0000112100"
2051069;"6.8";5339;"0000012211"
2052306;"5.2";2144;"0001221000"
2052559;"7.2";4447;"0000012211"
2052620;"5.1";45923;"0001221000"
2053107;"6.3";42793;"0000122100"
2053384;"6.5";1160;"0000122100"
2053502;"6.5";1894;"0000012101"
2053508;"5.1";7860;"0001111000"
2054459;"5.3";41317;"0001221000"
2054549;"7.0";277;"0000012111"
2054579;"6.0";1295;"0000122100"
2054984;"7.1";564;"0000001211"
2056719;"6.9";6778;"0000012211"
2056752;"5.2";59043;"0001221000"
2056849;"6.4";8969;"0000122100"
2056919;"6.9";811;"0000012111"
2057285;"7.5";16282;"0000002311"
2057507;"7.8";18886;"0000001212"
2057709;"6.1";4036;"0000011111"
2057859;"6.6";116095;"0000023100"
2057973;"5.4";11204;"0001121000"
2058247;"4.7";12982;"0001211000"
2058289;"6.4";10114;"0000022100"
2058442;"4.4";37533;"0011210000"
2058644;"6.9";178;"0000012211"
2058680;"8.0";317593;"0000001311"
2058733;"3.7";4911;"1111110000"
2058950;"6.2";14218;"0000122100"
2059661;"7.4";7;".1..2....5"
2061440;"7.9";17016;"0000001321"
2062622;"6.6";31659;"0000023100"
2062958;"5.6";6358;"0000111101"
2064107;"6.1";2836;"0000122100"
2064709;"7.6";7470;"0000001321"
2065922;"6.7";353;"0000012111"
2066931;"7.5";2717;"0000002211"
2067104;"2.6";16937;"3110000001"
2067595;"6.2";957;"0000022100"
2067764;"6.4";36466;"0000122100"
2068023;"7.0";818;"0000001222"
2068316;"7.5";23872;"0000002211"
2069192;"7.9";20855;"0000001311"
2069265;"5.1";1144;"0001211000"
2069717;"6.9";146;"000.001211"
2070201;"3.1";746;"2111100000"
2070230;"6.9";5098;"0000011112"
2070468;"6.6";612;"0000122100"
2070548;"6.8";40882;"0000012211"
2070614;"6.5";5863;"0000011111"
2070622;"7.4";5;".2..2....6"
2070627;"5.0";212;"0001110001"
2070880;"6.3";6938;"0000122100"
2071313;"5.7";426;"0000111111"
2071566;"6.7";10783;"0000023100"
2071578;"6.2";1392;"0000122100"
2071800;"6.4";14010;"0000022100"
2071915;"6.5";1020;"0000022100"
2072443;"6.7";2355;"0000012101"
2072508;"8.0";52313;"0000001212"
2072510;"5.7";15093;"0001121000"
2072519;"3.5";2915;"1111100000"
2072728;"6.9";16496;"0000012201"
2072804;"7.3";4005;"0000002211"
2073054;"6.8";45746;"0000012200"
2073156;"5.6";3152;"0000121101"
2073938;"5.7";1519;"0000121100"
2074015;"5.9";10864;"0000122000"
2074067;"6.4";34824;"0000123100"
2074106;"6.3";2474;"0000011101"
2074187;"5.3";3641;"0000121000"
2074632;"7.2";1098;"0000002211"
2075122;"7.1";10566;"0000012210"
2075324;"6.1";2390;"0000111101"
2075452;"4.4";8794;"1011110000"
2075554;"6.0";79;"..001230.0"
2076744;"7.6";9485;"0000001212"
2077306;"7.0";6078;"0000012102"
2078652;"8.1";18141;"0000001223"
2078857;"7.7";63024;"0000002311"
2079361;"4.6";3775;"0001111000"
2079616;"5.7";872;"0000121000"
2080444;"4.6";5101;"0011111000"
2080719;"6.9";16573;"0000012211"
2081397;"6.2";3530;"0000122100"
2082589;"6.4";1281;"0000122100"
2082758;"7.8";49464;"0000001222"
2084764;"6.5";86;"0000021101"
2085383;"7.0";2149;"0000013210"
2085434;"6.3";1289;"0000122100"
2086876;"6.9";216;"0000012210"
2087502;"7.0";2524;"0000012211"
2087693;"6.7";862;"0000012100"
2088076;"8.4";276943;"0000001222"
2088141;"6.6";20498;"0000012100"
2088412;"6.6";14953;"0000022101"
2091188;"7.7";4199;"0000001311"
2091255;"7.6";42053;"0000001212"
2091405;"7.2";2098;"0000012211"
2092032;"7.5";4630;"0000002211"
2092629;"7.8";17922;"0000001212"
2093179;"6.7";958;"0000012200"
2093616;"6.9";736;"0000012210"
2093617;"7.4";8223;"0000002211"
2093759;"6.9";5857;"0000013210"
2094426;"7.1";6172;"0000012211"
2094455;"8.1";18940;"0000001222"
2094683;"7.2";11359;"0000012211"
2094747;"8.1";58836;"0000001222"
2094854;"7.6";3686;"0000001311"
2095261;"6.7";371;"0000012100"
2095288;"7.9";25984;"0000001222"
2095320;"7.4";4542;"0000002311"
2096283;"7.3";5983;"0000012211"
2096794;"7.0";700;"0000012201"
2096850;"5.7";1036;"0000111101"
2097603;"5.9";669;"0000122100"
2097722;"6.9";158;".000112201"
2098630;"7.6";7347;"0000001211"
2099040;"7.7";3253;"0000002311"
2099471;"7.3";10190;"0000002211"
2100174;"6.8";542;"0000012200"
2100901;"6.9";227;"0000012201"
2100911;"7.0";604;"0000012210"
2102238;"5.3";106;"0000111101"
2102302;"7.3";5442;"0000002211"
2102312;"5.6";389;"0000112101"
2102344;"6.5";178;"0000112101"
2102540;"8.5";219394;"0000000123"
2103144;"7.3";61958;"0000012212"
2103526;"8.4";53092;"0000001222"
2103866;"7.4";42095;"0000012211"
2103908;"6.3";1136;"0000122100"
2103955;"7.5";1796;"0000002311"
2103975;"6.8";24422;"0000012211"
2104410;"5.5";29750;"0001121000"
2104759;"7.4";1374;"0000001211"
2105754;"5.2";3942;"0001221000"
2106723;"4.3";24;"1202100000"
2106899;"5.6";2535;"0000221000"
2106940;"6.1";75156;"0000122100"
2107118;"5.5";2689;"0000121000"
2107343;"6.2";33374;"0000122100"
2107404;"7.3";9;"1..1.111.4"
2107497;"3.9";226;"1111100000"
2107634;"6.2";269;"0000111110"
2107847;"7.9";29229;"0000001212"
2107892;"6.1";334;"0000011101"
2108364;"3.9";140;"1111100001"
2108654;"8.1";21142;"0000001222"
2109065;"7.3";5151;"0000001212"
2109077;"2.3";6244;"4110000000"
2109093;"8.4";122525;"0000001223"
2110112;"7.5";1159;"0000002211"
2110128;"6.8";1697;"0000012210"
2110973;"6.8";1078;"0000012110"
2111069;"6.9";1097;"0000001211"
2111847;"7.6";20606;"0000002311"
2111960;"7.8";3167;"0000001222"
2112240;"6.5";250;"0000112100"
2112346;"7.4";27208;"0000001212"
2112512;"7.3";5092;"0000002211"
2112515;"6.9";3857;"0000012211"
2113512;"7.7";13257;"0000001212"
2113531;"5.9";173;"0000112100"
2113595;"8.1";18625;"0000001222"
2114355;"7.7";8806;"0000001212"
2114635;"7.3";2566;"0000012211"
2115171;"6.6";282;"0000022100"
2115628;"6.7";1486;"0000012111"
2116072;"7.6";20575;"0000001221"
2116658;"5.5";295;"0000012101"
2116708;"4.8";6850;"0001111000"
2116736;"4.7";2413;"0001211000"
2116855;"7.6";68879;"0000002211"
2117546;"3.8";41;"31.0100..1"
2117637;"6.3";31854;"0000112101"
2117874;"7.3";74501;"0000012211"
2119117;"6.7";1184;"0000012211"
2119264;"7.3";23900;"0000012211"
2119409;"6.5";2452;"0000012100"
2119425;"7.4";5723;"0000002211"
2120136;"6.7";961;"0000012210"
2120569;"8.1";10827;"0000000114"
2121501;"7.3";2331;"0000001212"
2121565;"7.2";2770;"0000001112"
2121785;"6.8";1374;"0000012111"
2121889;"7.7";10385;"0000001212"
2122177;"8.1";42751;"0000001222"
2122231;"6.9";684;"0000013210"
2122271;"7.3";3183;"0000002211"
2122764;"6.7";15496;"0000012111"
2122788;"6.9";1348;"0000012210"
2123712;"7.2";60;"00.0012211"
2124042;"4.9";740;"0011220000"
2124260;"3.5";230;"2111100000"
2124355;"7.6";132161;"0000002311"
2124357;"7.1";85262;"0000013200"
2124358;"6.6";90035;"0000023100"
2124359;"6.5";92213;"0000023100"
2125443;"6.7";137252;"0000023100"
2125639;"6.9";4879;"0000013210"
2125784;"6.5";50319;"0000122100"
2126243;"7.6";641;"0000002211"
2126595;"7.0";20;"1.01110004"
2126772;"5.1";684;"0001121000"
2127239;"8.1";171261;"0000001222"
2127402;"5.2";3552;"0001221000"
2127563;"7.8";13893;"0000002311"
2127575;"6.0";10319;"0000122100"
2127843;"5.5";2633;"0000111101"
2127926;"5.2";1408;"0001211000"
2128046;"5.0";3966;"0001221000"
2128569;"7.0";160;"0000011211"
2128890;"6.9";4361;"0000012211"
2128957;"7.9";8902;"0000001212"
2130340;"5.8";5592;"0000121100"
2130342;"7.6";20165;"0000001211"
2130419;"6.3";1375;"0000112101"
2130468;"5.7";9092;"0000121100"
2130504;"5.9";779;"0000121100"
2130832;"7.2";937;"0000012211"
2130889;"5.9";278;"0.00111111"
2131017;"7.0";3972;"0000012112"
2131031;"6.7";4037;"0000012100"
2131225;"6.7";34421;"0000012101"
2131334;"6.9";11010;"0000012210"
2131430;"7.1";26243;"0000012211"
2131675;"5.2";1228;"0000111001"
2131729;"6.8";49668;"0000023100"
2132235;"6.4";3379;"0000012100"
2132367;"7.3";9804;"0000002211"
2133245;"4.5";387;"0011110000"
2133276;"5.9";28654;"0000122100"
2133416;"7.3";11831;"0000001212"
2133500;"8.2";258658;"0000001322"
2133798;"6.8";27201;"0000013200"
2134027;"7.8";123806;"0000001321"
2134055;"7.7";45136;"0000002311"
2134058;"6.7";24770;"0000012111"
2134388;"7.5";17784;"0000001211"
2134453;"7.6";4090;"0000001211"
2134924;"6.8";7800;"0000012101"
2135675;"7.1";5817;"0000002211"
2136104;"5.8";7812;"0000121100"
2136125;"7.1";9415;"0000012200"
2136535;"7.6";11630;"0000001221"
2137901;"7.5";18;"0.010.0113"
2137905;"5.1";18188;"0001221000"
2137970;"6.1";2995;"0000122100"
2138292;"7.6";67284;"0000001212"
2138299;"7.7";7166;"0000001212"
2138727;"4.9";44767;"0001111000"
2139026;"6.9";34;"0000112102"
2139396;"6.8";9174;"0000012112"
2139407;"6.5";1807;"0000012211"
2139438;"6.0";4104;"0000122101"
2139545;"5.5";3026;"0000111101"
2139928;"4.9";786;"0001111001"
2140029;"6.5";2398;"0000012101"
2140049;"6.5";1837;"0000012111"
2140074;"6.9";1794;"0000001112"
2140461;"6.9";986;"0000011211"
2140530;"5.4";3740;"0000111101"
2140712;"5.4";294;"0001122000"
2140806;"7.7";18671;"0000002211"
2140811;"6.9";2772;"0000012210"
2140922;"5.8";1526;"0000012111"
2140999;"5.7";2604;"0000112100"
2141139;"6.3";79;".001121100"
2141230;"7.3";6832;"0000012211"
2141393;"6.6";2234;"0000011111"
2141461;"5.9";3098;"0000111100"
2141703;"6.3";477;"0000112100"
2141961;"4.3";151;"0001010002"
2142487;"6.6";8511;"0000022101"
2142714;"6.7";887;"0000023200"
2143749;"6.1";2975;"0000121100"
2144390;"6.9";1056;"0000013200"
2144547;"6.8";3116;"0000012211"
2145409;"8.6";422891;"0000000233"
2145603;"8.5";64571;"0000001222"
2145699;"6.7";4920;"0000012201"
2145942;"7.7";40675;"0000001211"
2146691;"6.8";38;"011.000012"
2146907;"7.1";1201;"0000012211"
2146945;"7.3";5977;"0000002211"
2147404;"6.6";1409;"0000023100"
2147519;"5.7";575;"0000122100"
2147811;"6.5";4147;"0000022101"
2147941;"5.8";1343;"0000121100"
2147962;"6.1";13025;"0000122100"
2147992;"5.1";1893;"0000111101"
2148026;"4.8";4312;"0001211000"
2148037;"7.0";82205;"0000013200"
2148039;"7.6";74431;"0000002311"
2148040;"6.1";57770;"0000122100"
2148165;"6.8";186;"0000011111"
2148281;"6.9";398;"0000012111"
2148400;"6.4";851;"0000022100"
2148608;"4.6";9135;"0001210000"
2148848;"5.8";3290;"0000121101"
2149158;"5.5";5716;"0000111101"
2150211;"8.0";184104;"0000001222"
2150224;"7.1";29510;"0000013200"
2151493;"4.2";4407;"0011110000"
2151499;"5.7";14805;"0000121101"
2151740;"6.6";1369;"0000022101"
2153014;"7.6";43732;"0000002311"
2153110;"7.5";1102;"0000001213"
2153283;"6.2";13665;"0000122100"
2153421;"8.1";30;"0..0001124"
2153457;"7.1";75513;"0000012211"
2153998;"7.8";3721;"0000001311"
2154565;"4.5";111;"0001101001"
2154596;"6.8";1024;"0000012211"
2154607;"4.5";4737;"0001110001"
2154630;"5.6";267;"0000122100"
2154663;"7.4";74731;"0000012211"
2155643;"8.0";72394;"0000001222"
2155689;"7.3";19817;"0000012310"
2156231;"6.8";1149;"0000012201"
2156364;"7.9";12443;"0000001222"
2156478;"7.0";10113;"0000012211"
2157118;"7.6";31071;"0000012310"
2157273;"7.3";156;"0.00001212"
2157724;"7.0";1047;"0000002212"
2158286;"5.8";453;"0000012101"
2159085;"5.5";10385;"0000121000"
2159258;"7.2";23222;"0000013210"
2159513;"6.0";9278;"0000122100"
2159587;"6.3";123318;"0000122100"
2160048;"7.7";10127;"0000002311"
2160308;"6.6";13979;"0000022100"
2160428;"7.7";62283;"0000001212"
2160436;"5.6";9282;"0000121100"
2160769;"4.9";103;"0111110010"
2161122;"6.4";636;"0000012100"
2161615;"7.4";2014;"0000001212"
2162013;"7.7";4868;"0000001222"
2162109;"6.6";53410;"0000012101"
2162762;"7.5";7831;"0000001212"
2162869;"6.9";58119;"0000013200"
2162994;"6.3";2124;"0000122100"
2163340;"5.1";15640;"0001111000"
2163370;"5.1";11506;"0001221000"
2163581;"7.1";278;"0000012112"
2164115;"7.6";11362;"0000001211"
2164174;"4.1";4509;"1011110000"
2164328;"6.1";2028;"0000012100"
2164624;"6.4";130033;"0000122100"
2164939;"5.9";10023;"0000122100"
2164942;"2.6";1504;"3110000000"
2164943;"2.9";1642;"2111000000"
2164944;"3.2";1354;"2111000000"
2165318;"5.8";13156;"0000122100"
2165411;"7.1";7787;"0000002211"
2165624;"7.0";114917;"0000012211"
2165627;"7.7";6713;"0000002311"
2165666;"7.5";10786;"0000001212"
2165721;"4.8";1887;"0001111000"
2165765;"3.4";1768;"2111100001"
2165832;"7.0";180055;"0000013200"
2166642;"7.8";5478;"0000002311"
2167372;"6.5";1948;"0000122100"
2167489;"6.9";2683;"0000012110"
2168103;"6.1";92;"1000001102"
2168109;"6.5";1636;"0000112111"
2168207;"7.2";257487;"0000013200"
2168282;"5.8";115;"0000010002"
2168361;"7.4";2030;"0000001211"
2168402;"7.4";27285;"0000002211"
2168965;"7.7";5165;"0000001211"
2169199;"5.9";39506;"0000132000"
2169865;"5.8";20522;"0000121100"
2169876;"7.4";370;"00.0011211"
2170415;"4.8";3901;"0011210000"
2170555;"5.3";15550;"0001221000"
2170610;"6.3";2362;"0000122100"
2170625;"8.4";69755;"0000001222"
2170643;"7.2";5082;"0000002211"
2171511;"6.2";1120;"0000011102"
2171589;"7.4";4039;"0000001212"
2171762;"5.2";2184;"0001221000"
2171907;"5.5";27912;"0001221000"
2171943;"7.0";17537;"0000013211"
2172334;"5.7";23803;"0000122000"
2172541;"7.8";6865;"0000001311"
2172808;"7.9";54664;"0000001311"
2172829;"7.6";38712;"0000001311"
2172947;"7.5";39100;"0000002311"
2173027;"6.5";24611;"0000022100"
2173296;"7.0";5644;"0000012310"
2173331;"7.0";22868;"0000013200"
2173343;"6.9";2348;"0000013101"
2173344;"5.4";16530;"0001221000"
2173361;"4.4";13298;"1001110002"
2173730;"5.2";465;"0001111001"
2174014;"7.9";11265;"0000001312"
2174318;"5.2";6932;"0001221000"
2174392;"7.1";123;"0..0012110"
2174453;"7.9";75256;"0000001321"
2174775;"5.8";25525;"0000122000"
2174948;"6.9";704;"0000001211"
2175680;"7.1";1799;"0000012211"
2176083;"7.8";21181;"0000001212"
2176086;"6.1";12627;"0000122100"
2176174;"5.2";112;"0001211000"
2176789;"7.8";86243;"0000002311"
2177244;"6.3";1064;"0000112100"
2177836;"5.0";7285;"0001211000"
2177839;"4.7";3808;"0011210000"
2177959;"5.4";46200;"0001121000"
2177983;"7.0";189992;"0000013200"
2177992;"5.9";156135;"0000122100"
2178276;"7.7";9850;"0000001222"
2178807;"7.6";10624;"0000001212"
2179017;"5.0";6013;"0001111000"
2179406;"6.4";6006;"0000022100"
2179939;"8.6";73850;"0000000223"
2180060;"6.7";249;"0000011211"
2180670;"6.2";2651;"0000122101"
2180698;"5.6";1872;"0000121100"
2181096;"6.3";7210;"0000112101"
2181493;"7.3";7225;"0000012210"
2181690;"6.8";341;"0.00012212"
2181898;"5.8";17078;"0000122100"
2181907;"5.4";23545;"0001221000"
2182213;"6.1";5245;"0000122100"
2182361;"8.4";125993;"0000001223"
2182564;"7.8";7761;"0000001211"
2183016;"6.2";1069;"0000112100"
2183254;"8.4";248977;"0000001222"
2183622;"6.6";41;"..00122100"
2183643;"5.7";2463;"0000121000"
2183675;"6.2";46594;"0000122100"
2183726;"7.0";24925;"0000012211"
2184999;"5.6";56410;"0000121001"
2185015;"3.4";25760;"2111100000"
2185038;"5.6";5304;"0001221000"
2185767;"7.0";3558;"0000012211"
2186706;"6.2";29890;"0000122100"
2187505;"6.5";5243;"0000123100"
2187739;"7.5";3624;"0000002310"
2187886;"7.1";23570;"0000012211"
2187957;"6.3";1175;"0000112111"
2187965;"5.5";4098;"0000121000"
2188028;"3.6";9323;"1111100000"
2188074;"6.2";11715;"0000122100"
2188117;"5.0";209;"0011111001"
2188295;"5.7";3224;"0000121100"
2188332;"8.3";51027;"0000001222"
2188440;"5.7";2106;"0000122000"
2188458;"3.6";3652;"2111100000"
2188547;"7.2";8332;"0000012210"
2188553;"6.7";1989;"0000012110"
2188633;"6.7";108768;"0000012100"
2188696;"7.6";7764;"0000002211"
2188708;"6.2";3027;"0000112100"
2188768;"5.8";4164;"0000121101"
2188978;"7.3";28699;"0000012211"
2189533;"7.5";17455;"0000002311"
2189721;"7.3";87580;"0000012211"
2189833;"6.1";9936;"0000122100"
2189969;"5.8";18257;"0000122100"
2190062;"6.7";7084;"0000012210"
2190354;"6.7";10656;"0000012101"
2190371;"6.1";10834;"0000122100"
2190603;"5.9";17345;"0000132000"
2190734;"7.1";16239;"0000012210"
2190795;"6.4";3065;"0000123100"
2190803;"7.6";6016;"0000002311"
2190900;"7.0";20464;"0000012211"
2190982;"6.8";3082;"0000012101"
2191385;"6.4";3278;"0000112111"
2191428;"6.5";7440;"0000012101"
2191929;"6.7";3394;"0000012200"
2191997;"7.8";11427;"0000002311"
2192642;"6.2";68445;"0000122100"
2192654;"7.4";546;"0000001212"
2192747;"6.8";5181;"0000012201"
2192782;"4.9";2526;"0001111001"
2192913;"5.2";1030;"0001111001"
2192973;"7.4";59332;"0000012211"
2193169;"6.8";12947;"0000012211"
2193264;"7.8";45734;"0000001212"
2193276;"6.8";2400;"0000012212"
2193388;"4.7";7831;"0011210000"
2193407;"7.2";5307;"0000012211"
2193422;"6.3";9845;"0000122100"
2193721;"4.7";4687;"0001211000"
2194143;"7.8";31733;"0000002311"
2194153;"6.6";6693;"0000012101"
2194168;"6.4";1789;"0000022100"
2194362;"8.0";11781;"0000001212"
2194363;"6.1";432;"0000122100"
2194471;"6.9";136;"0000012211"
2194580;"7.4";4685;"0000002310"
2194791;"7.0";26449;"0000012211"
2195009;"5.6";2735;"0000121100"
2195233;"6.9";1062;"0000012210"
2195417;"4.9";1406;"0001211000"
2196039;"5.9";42282;"0000122100"
2196060;"7.3";12030;"0000001212"
2196068;"7.4";12558;"0000002311"
2196132;"6.5";17933;"0000023100"
2196454;"5.6";424;"0000121100"
2196886;"7.3";1307;"0000013210"
2197021;"6.1";729;"0000122100"
2197407;"8.0";5;"2.......26"
2199194;"5.3";2261;"0001221000"
2199218;"5.7";1990;"0000111101"
2199868;"7.8";15666;"0000001222"
2199969;"6.3";51614;"0000122100"
2200121;"5.6";1131;"0000121000"
2201125;"6.0";497;"0000122001"
2201311;"7.7";682;"0000001312"
2201727;"7.6";12442;"0000001112"
2202537;"6.0";341;"0000221000"
2202732;"7.2";121555;"0000012211"
2202880;"5.8";102;"0000011102"
2204067;"7.0";18880;"0000012211"
2204532;"6.0";11631;"0000122100"
2205117;"5.1";3735;"1000111001"
2205227;"6.3";17001;"0000122100"
2205327;"7.2";2498;"0000012211"
2206238;"6.9";739;"0000013200"
2206242;"8.1";64985;"0000001222"
2206516;"5.8";48154;"0000121100"
2206541;"7.4";4648;"0000012211"
2206656;"6.6";87;"0001001002"
2206740;"4.9";3783;"0001211000"
2207203;"6.2";1549;"0000012101"
2207291;"6.3";25492;"0000122100"
2207384;"4.5";2841;"1001110000"
2207638;"7.1";7;".1.1.1.1.4"
2207954;"6.4";12238;"0000011113"
2208048;"5.6";16767;"0000121101"
2208084;"6.5";3317;"0000012210"
2208430;"7.0";7646;"0000013200"
2208474;"6.9";1157;"0000012211"
2208962;"6.3";23770;"0000122100"
2209075;"7.1";436;"0000012211"
2209608;"6.5";3804;"0000123100"
2209821;"6.3";8001;"0000122100"
2209901;"6.1";827;"0000122101"
2210137;"6.2";8586;"0000122101"
2210139;"6.7";9068;"0000012101"
2210196;"8.0";62346;"0000001212"
2210254;"7.6";26585;"0000001321"
2210356;"6.3";9041;"0000122100"
2210519;"5.4";1275;"0001221000"
2210617;"6.1";11900;"0000122100"
2210872;"7.4";40607;"0000012311"
2211077;"7.2";5261;"0000002211"
2211223;"5.4";429;"0000111110"
2211282;"5.6";20546;"0000121100"
2211336;"5.3";22076;"0001221000"
2211395;"7.1";32537;"0000012211"
2211751;"7.9";10306;"0000001221"
2212209;"7.0";18929;"0000012211"
2212660;"5.9";11752;"0000122100"
2212954;"5.7";1403;"0000121100"
2213122;"5.4";3631;"0001221000"
2213622;"5.3";1101;"0001221000"
2213866;"7.0";18776;"0000013210"
2214546;"7.2";11388;"0000012211"
2216031;"6.2";1493;"0000122100"
2216145;"4.2";8930;"1001110000"
2216176;"6.9";2612;"0000012210"
2216295;"4.6";695;"0001210000"
2216316;"8.5";145161;"0000001222"
2216640;"5.2";421;"0001111001"
2216642;"8.0";50038;"0000001212"
2217530;"4.4";13448;"1001111000"
2217636;"6.7";348;"0000012201"
2217693;"5.7";3649;"0000121100"
2217717;"6.3";42;"0000011101"
2217718;"5.9";292;"0000111002"
2217782;"8.2";49079;"0000001222"
2217888;"6.9";130237;"0000012210"
2218486;"6.3";15487;"0000111102"
2218524;"5.9";5070;"0000011101"
2219070;"6.6";277;"0000001112"
2219442;"5.9";2586;"0000132000"
2219779;"6.2";25211;"0000122100"
2219992;"4.2";29101;"0011110000"
2220554;"6.8";597;"0000012201"
2221102;"5.6";639;"1000111101"
2222143;"7.2";2751;"0000012211"
2224890;"7.7";45460;"0000001311"
2225574;"7.1";3010;"0000012211"
2225605;"5.0";1154;"0001211000"
2225624;"7.5";22636;"0000002311"
2226062;"4.7";1146;"1001111000"
2226103;"7.8";142801;"0000001211"
2227800;"6.9";852;"0000001212"
2228369;"7.2";5816;"0000012211"
2228704;"6.5";20024;"0000122101"
2228754;"7.4";16161;"0000012211"
2229516;"7.3";695;"0000001213"
2229633;"7.5";15941;"0000002211"
2229656;"6.8";38710;"0000012101"
2229787;"6.0";349;"0001122000"
2230251;"7.2";6827;"0000012211"
2230732;"7.0";293;"0000011211"
2230871;"7.5";8962;"0000001212"
2230917;"8.3";64446;"0000001222"
2231247;"8.4";136511;"0000001222"
2231307;"6.9";340;"0000002112"
2231336;"7.9";19006;"0000001222"
2231697;"6.1";8227;"0000122100"
2231855;"6.5";13180;"0000022100"
2231882;"7.0";5223;"0000012210"
2231896;"6.3";27278;"0000122100"
2231909;"8.8";416406;"0000000233"
2232226;"6.4";280;"0000121101"
2232255;"6.2";1344;"0000111102"
2232299;"5.7";739;"0000111101"
2232552;"5.7";4549;"0000121100"
2232980;"4.9";888;"0001221000"
2233001;"6.8";7126;"0000012211"
2233552;"6.5";4757;"0000012111"
2233759;"7.7";6246;"0000002311"
2233885;"6.2";10816;"0000122101"
2234951;"5.9";303;"0000111101"
2235378;"4.7";5261;"0001211000"
2235600;"7.0";2499;"0000012211"
2236433;"7.8";24535;"0000001212"
2236640;"6.0";24164;"0000112101"
2236888;"5.5";810;"0001211001"
2237013;"6.9";6766;"0000012211"
2237801;"6.6";4528;"0000012101"
2238427;"6.8";320;"0000001111"
2238465;"5.6";11;".00.32..00"
2238483;"6.8";5581;"0000012210"
2238595;"6.2";128;"0000112101"
2239654;"6.9";1156;"0000012101"
2239941;"7.0";33209;"0000012211"
2240178;"7.0";55442;"0000012210"
2240406;"8.1";15600;"0000001222"
2240516;"5.7";4418;"0000121100"
2240566;"6.5";62419;"0000123100"
2240849;"5.7";4154;"0000121100"
2240934;"5.9";625;"0000121101"
2240936;"6.0";6452;"0000122100"
2241542;"6.0";4252;"0000122100"
2241805;"6.0";3226;"0000122100"
2242954;"6.2";10480;"0000122100"
2243968;"3.6";533;"1011110000"
2244080;"6.8";2461;"0000013100"
2244271;"7.2";26276;"0000013210"
2244488;"5.8";5285;"0000122100"
2245091;"6.9";1402;"0000012211"
2245138;"7.2";745;"0000001212"
2246169;"6.7";369;"0000012201"
2246675;"8.0";56936;"0000001321"
2247345;"8.2";6433;"0000001222"
2247366;"6.5";3249;"0000012101"
2247594;"6.2";197;"0000011111"
2247913;"3.0";1082;"2111100000"
2248232;"6.8";27284;"0000012210"
2248438;"7.6";1754;"0000001212"
2248473;"7.7";87;"0..0012112"
2248574;"4.8";334;"1000111101"
2248580;"8.0";29504;"0000001222"
2249442;"6.3";2886;"0000112101"
2250014;"7.7";2580;"0000001212"
2250495;"7.1";3251;"0000012211"
2250593;"6.2";612;"0000012101"
2250599;"5.2";2219;"0001211000"
2251093;"6.3";51074;"0000012100"
2251197;"8.0";8459;"0000000123"
2251241;"8.5";73332;"0000001222"
2251547;"6.8";56634;"0000013200"
2251761;"8.0";57452;"0000001222"
2251833;"7.1";37;".000011201"
2252075;"6.2";8275;"0000122101"
2252158;"6.1";8262;"0000111101"
2252485;"4.9";33;"2011000001"
2252917;"5.9";71;"0001121100"
2253153;"6.3";9436;"0000112100"
2253332;"6.8";30582;"0000012111"
2253441;"7.7";15211;"0000002211"
2253567;"6.3";20176;"0000122100"
2254216;"5.6";363;"0000111101"
2254219;"2.7";310;"2111000001"
2254327;"7.0";3214;"0000012211"
2255035;"8.3";88127;"0000001322"
2255064;"8.0";75693;"0000001321"
2255408;"7.6";14427;"0000002311"
2256004;"6.1";4915;"0000122100"
2256605;"7.5";6538;"0000001212"
2257031;"6.4";41763;"0000122100"
2257033;"4.4";9560;"0011110000"
2257129;"6.1";10636;"0000122100"
2257265;"7.3";41025;"0000013211"
2257381;"6.8";6550;"0000012210"
2257901;"6.7";16055;"0000012101"
2257904;"6.3";6729;"0000122101"
2257905;"5.8";3978;"0000121001"
2257906;"5.5";3172;"0000111001"
2258068;"5.2";12031;"0001121000"
2258079;"6.9";352;"0000012211"
2258163;"3.4";534;"2111100001"
2258248;"6.3";47230;"0000122100"
2258328;"7.6";122078;"0000002311"
2258588;"6.3";2375;"0000122100"
2258957;"6.6";2216;"0000012200"
2258958;"7.5";100432;"0000002211"
2259483;"7.2";4808;"0000012211"
2259508;"7.6";17388;"0000001211"
2259556;"6.6";660;"0000012111"
2259586;"5.3";11091;"0001221000"
2259786;"6.6";82;".000022100"
2261350;"5.8";11943;"1000011101"
2261353;"7.8";42774;"0000001212"
2261598;"7.6";48283;"0000012211"
2261929;"5.8";9736;"0000122000"
2262428;"7.0";6053;"0000013200"
2262464;"7.1";128954;"0000013210"
2262957;"7.3";5275;"0000012211"
2263106;"3.8";24094;"2100000001"
2263331;"8.0";97349;"0000001311"
