"movieid";"writerid";"addition"
2174014;394543;"(contract writer) (uncredited)"
2174318;234519;"(written by)  <1,1,1>"
2174392;286591;"(screenplay)"
2174392;286591;"(story)"
2174392;290172;"(screenplay)"
2174392;290172;"(story)"
2174392;313318;"(screenplay)"
2174392;313318;"(story)"
2174453;68346;"(written by)  <1,2,1>"
2174453;68351;"(written by)  <1,1,1>"
2174453;146866;"(novels ""Red Harvest"" and ""Glass Key"") (uncredited)"
2174775;87201;"(screen story)  <2,1,2>"
2174775;87201;"(screenplay)  <3,1,2>"
2174775;307586;"(screen story)  <2,1,1>"
2174775;307586;"(screenplay)  <3,1,1>"
2174775;397172;"(short story ""Mimic"")  <1,1,1>"
2174948;97502;""
2175680;57654;""
2176083;82338;"(story)  <2,1,1>"
2176083;329613;"(written for the screen by)  <1,1,1>"
2176086;82338;"(story)  <1,1,1>"
2176086;164419;"(screenplay)  <3,2,1>"
2176086;329613;"(1947 screenplay)  <2,1,1>"
2176086;329613;"(screenplay)  <3,1,1>"
2176174;10167;"(written by)  <1,1,1>"
2176789;133111;"(screenplay)  <2,1,1>"
2176789;189747;"(novel ""Misery"")  <1,1,1>"
2177244;72079;"(screenplay)"
2177244;352655;"(play ""Fröken Julie"")"
2177836;33059;"(characters)  <1,1,3>"
2177836;46465;"(screenplay)  <2,1,1>"
2177836;76578;"(story)  <3,1,1>"
2177836;161409;"(story)  <3,1,2>"
2177836;211549;"(characters)  <1,1,2>"
2177836;337637;"(characters)  <1,1,1>"
2177839;33059;"(written by)"
2177839;211549;"(written by)"
2177839;337637;"(written by)"
2177959;53887;"(story)  <1,1,1>"
2177959;363280;"(screenplay)  <2,1,1>"
2177959;363280;"(story)  <1,2,1>"
2177959;363287;"(screenplay)  <2,1,2>"
2177959;363287;"(story)  <1,2,2>"
2177959;402031;"(screenplay)  <2,2,1>"
2177983;127335;"(television series)  <1,1,1>"
2177983;193096;"(screenplay)  <3,1,1>"
2177983;193096;"(story)  <2,1,1>"
2177983;367941;"(screenplay)  <3,2,1>"
2177983;403443;"(story)  <2,2,1>"
2177992;41400;"(story)  <2,1,2>"
2177992;127335;"(creator television series Mission: Impossible)  <1,1,1>"
2177992;251682;"(story)  <2,1,1>"
2177992;367941;"(screenplay)  <3,1,1>"
2178276;153114;"(based on the play by)  <2,1,1>"
2178276;153114;"(from the novel by)  <3,1,1>"
2178276;216607;"(based on the play by)  <2,2,1>"
2178276;216607;"(screenplay)  <1,2,1>"
2178276;267313;"(screenplay) (as Frank Nugent)  <1,1,1>"
2178807;29754;"<2,1,4>"
2178807;46976;"<2,1,3>"
2178807;146124;"<2,1,1>"
2178807;179171;"(novel)  <1,1,1>"
2178807;179171;"<2,1,2>"
2179017;104574;"(screenplay)  <1,1,2>"
2179017;104577;"(screenplay)  <1,1,1>"
2179406;208351;"(written by)"
2179939;61272;"(written by) (as Charlie Chaplin)  <1,1,1>"
2180060;333141;"(writer)"
2180670;86626;"(character from novel)  <1,1,1>"
2180670;88759;"(screen story)  <2,1,1>"
2180670;88759;"(screenplay)  <3,1,1>"
2180698;65010;"(written by)  <1,1,1>"
2181096;75369;"(book)"
2181096;128488;""
2181096;162479;""
2181096;283972;""
2181096;399721;""
2181493;177522;"(screenplay)  <1,1,1>"
2181493;209473;"(screenplay)  <1,2,1>"
2181690;126240;"<2,1,1>"
2181690;206412;"(novel)  <1,1,1>"
2181898;68720;"(written by)  <1,1,1>"
2181898;343735;"(written by)  <1,1,2>"
2181907;218246;"(screenplay)  <2,2,1>"
2181907;305074;"(screenplay)  <2,1,1>"
2181907;305074;"(story)  <1,1,1>"
2182213;311303;"(screenplay)  <2,1,1>"
2182213;350686;"(novel ""Monkey Shines"")  <1,1,1>"
2182361;248583;"(written by)  <1,1,1>"
2182564;61272;"(an original story written by)  <1,1,1>"
2182564;389719;"(based on an idea by)  <2,1,1>"
2183016;159325;"(written by)"
2183016;159326;"(written by)"
2183254;61330;"(written by)  <1,1,1>"
2183254;67305;"(written by)  <1,1,2>"
2183254;130210;"(written by)  <1,1,4>"
2183254;167138;"(written by)  <1,1,3>"
2183254;177232;"(written by)  <1,1,5>"
2183254;276094;"(written by)  <1,1,6>"
2183622;68541;"(suggested by the original story by)  <2,1,1>"
2183622;317082;"(screen play)  <1,1,1>"
2183622;333023;"(suggested by the original story by)  <2,2,1>"
2183622;398194;"(screen play)  <1,2,1>"
2183643;338264;"(play)  <1,1,1>"
2183643;338264;"(screenplay)  <2,1,1>"
2183675;114653;"(novel) (uncredited)  <1,1,1>"
2183675;397620;"(screenplay)  <2,1,1>"
2183726;332970;"(written by)  <1,1,1>"
2184999;38122;"(video games)  <1,1,1>"
2184999;96403;"(written by)  <2,1,1>"
2184999;365754;"(video games)  <1,1,2>"
2185015;38122;"(video games)  <1,1,1>"
2185015;120041;"(screenplay)  <3,1,1>"
2185015;182661;"(story)  <2,1,1>"
2185015;365754;"(story)  <2,1,3>"
2185015;391016;"(story)  <2,1,2>"
2185015;403140;"(screenplay)  <3,1,2>"
2185038;186942;"<1,1,2>"
2185038;302320;"<1,1,1>"
2185767;382745;"(novel) (as Kurt Vonnegut)  <1,1,1>"
2185767;388739;"(screenplay)  <2,1,1>"
2186706;305891;"(written by)  <1,1,1>"
2187505;196383;"(story and screenplay)  <1,1,1>"
2187886;97889;"(written by)  <1,1,1>"
2187957;24734;"(written by)"
2187965;75919;"(screenplay)  <2,2,1>"
2187965;313556;"(screenplay)  <2,1,1>"
2187965;313556;"(story)  <1,1,1>"
2188028;293635;"(written by)  <1,1,1>"
2188028;334806;"(written by)  <1,1,2>"
2188074;164419;"(written by)  <1,1,1>"
2188117;43027;"(story)  <1,1,1>"
2188117;43027;"<2,1,2>"
2188117;222441;"(story)  <1,1,4>"
2188117;342873;"(story)  <1,1,3>"
2188117;397081;"(story)  <1,1,2>"
2188117;397081;"<2,1,1>"
2188295;76895;"(written by)  <1,1,1>"
2188295;124055;"(written by)  <1,2,1>"
2188295;226600;"(written by)  <1,2,2>"
2188332;47306;"(screenplay)  <1,1,1>"
2188332;71028;"(contributor to screenplay construction and dialogue) (uncredited)"
2188332;117081;"(story)  <2,1,1>"
2188440;289962;"(written by)  <1,1,2>"
2188440;327104;"(written by)  <1,1,1>"
2188458;101555;"(written by)  <1,1,2>"
2188458;233625;"(written by)  <1,1,1>"
2188458;256444;"(written by)  <1,1,3>"
2188547;44096;""
2188553;15361;"(screenplay)  <1,1,1>"
2188553;398204;"(novel)  <2,1,1>"
2188633;92652;"(screenplay)  <2,2,1>"
2188633;112964;"(novel ""Alias Madame Doubtfire"")  <1,1,1>"
2188633;339042;"(screenplay)  <2,1,1>"
2188696;120463;"(screenplay)  <1,1,2>"
2188696;157884;"(screenplay)  <1,1,3>"
2188696;273476;"(contributing writer) (uncredited)"
2188696;334815;"(contributing writer) (uncredited)"
2188696;352958;"(based on the book by)  <2,1,1>"
2188696;390543;"(screenplay)  <1,1,4>"
2188696;395474;"(screenplay)  <1,1,1>"
2188708;68069;"(written by)  <1,1,2>"
2188708;315243;"(written by)  <1,1,1>"
2188768;296790;"(screenplay)  <2,2,1>"
2188768;355156;"(screenplay)  <2,1,1>"
2188768;398240;"(novel ""I Married a Dead Man"")  <1,1,1>"
2188978;41626;"(screenplay)  <2,1,1>"
2188978;332709;"(play)  <1,1,1>"
2189533;7005;"(screenplay)"
2189533;7005;"(story)"
2189721;3124;"(story) (as Julius L. Aguimatang)  <4,1,8>"
2189721;10753;"(poem) (uncredited)"
2189721;39278;"(screenplay)  <2,1,5>"
2189721;71711;"(story)  <4,1,9>"
2189721;86214;"(co-head writer)  <4,1,1>"
2189721;95057;"(additional story material)  <5,1,5>"
2189721;102024;"(additional story material) (as Joseph Ekers)  <5,1,8>"
2189721;104474;"(story)  <4,1,10>"
2189721;133494;"(story)  <4,1,6>"
2189721;137193;"(story)  <4,1,11>"
2189721;159200;"(story)  <4,1,3>"
2189721;163502;"(screenplay)  <2,1,1>"
2189721;174670;"(additional story material)  <5,1,11>"
2189721;175236;"(story)  <4,1,5>"
2189721;175617;"(additional story material)  <5,1,2>"
2189721;191888;"(additional story material)  <5,1,6>"
2189721;206262;"(screenplay)  <2,1,3>"
2189721;234457;"(story)  <4,1,4>"
2189721;263433;"(additional story material)  <5,1,9>"
2189721;265292;"(additional story material)  <5,1,12>"
2189721;266341;"(story)  <4,1,12>"
2189721;272875;"(additional story material)  <5,1,3>"
2189721;303934;"(additional story material)  <5,1,4>"
2189721;304756;"(additional story material)  <5,1,7>"
2189721;320796;"(story)  <1,1,1>"
2189721;321149;"(screenplay) (as Christopher Sanders)  <2,1,2>"
2189721;321581;"(story)  <4,1,2>"
2189721;327009;"(additional story material)  <5,1,10>"
2189721;339044;"(screenplay)  <2,1,4>"
2189721;343169;"(additional story material)  <5,1,13>"
2189721;393705;"(story)  <4,1,7>"
2189721;398252;"(additional story material)  <5,1,1>"
2189833;90149;"(screenplay) (as Pete Dexter)  <2,1,1>"
2189833;90149;"(story) (as Pete Dexter)  <1,1,1>"
2189833;257826;"(story)  <1,2,1>"
2189969;124055;"(screenplay)  <2,2,1>"
2189969;145417;"(screenplay)  <2,1,2>"
2189969;226600;"(screenplay)  <2,2,2>"
2189969;245725;"(screenplay)  <2,1,1>"
2189969;245725;"(short story)  <1,1,1>"
2190062;182680;"(written by)  <1,1,1>"
2190354;149951;"(screenplay)  <2,2,1>"
2190354;178390;"(screenplay)  <2,1,1>"
2190354;350470;"(novel ""Treasure Island"")  <1,1,1>"
2190354;362515;"(screenplay)  <2,1,2>"
2190371;178390;"(written by)  <1,1,1>"
2190371;183545;"(written by)  <1,3,1>"
2190371;235737;"(written by) (as Joseph Mazzarino)  <1,2,1>"
2190603;25291;"(written by)  <1,1,1>"
2190603;159245;"(written by)  <1,1,2>"
2190734;135028;"(written by)  <1,1,1>"
2190795;80522;"(from: ""Enter Sir John"")  <1,1,1>"
2190795;158589;"(adapted by)  <2,1,1>"
2190795;258036;"(adapted by) (as Walter Mycroft)  <2,2,1>"
2190795;303551;"(scenario)  <3,1,1>"
2190795;338621;"(from: ""Enter Sir John"")  <1,2,1>"
2190803;60887;"(novel)  <2,1,1>"
2190803;280953;"(screenplay)  <1,1,1>"
2190900;159797;"(written by)  <1,1,1>"
2190982;118243;"<2,1,1>"
2190982;300117;"<2,1,2>"
2190982;327140;"(story)  <1,1,1>"
2191385;284464;"(written by)  <1,1,1>"
2191428;137736;"(written by)  <1,1,1>"
2191929;385161;"(written by)  <1,1,1>"
2191997;38256;""
2191997;121760;"(screenplay)  <1,1,2>"
2191997;145732;"(book)  <2,2,1>"
2191997;173713;"(screenplay)  <1,1,1>"
2191997;266208;"(book)  <2,1,1>"
2191997;394907;"(screenplay)  <1,2,1>"
2192642;23856;"(written by)  <1,1,1>"
2192654;217979;"(adaptation)  <3,1,1>"
2192654;239834;"(screen play)  <2,1,1>"
2192654;266477;"(from the story by)  <1,1,1>"
2192654;391330;"(screen play)  <2,2,1>"
2192747;272875;"(written by)  <1,1,1>"
2192782;217949;"(written by)  <1,1,1>"
2192913;25318;"(written by)  <1,1,1>"
2192973;205153;"(written by)  <1,1,1>"
2193169;129900;"(screenplay)  <2,1,1>"
2193169;253755;"(book)  <1,1,1>"
2193264;210519;"(book of musical play)  <1,1,1>"
2193264;210519;"(screenplay)  <3,1,1>"
2193264;333670;"(play) (as Bernard Shaw)  <2,1,1>"
2193276;261047;"(written by)  <1,1,1>"
2193276;363078;"(written by)  <1,1,2>"
2193388;138577;"(television series My Favorite Martian)  <1,1,1>"
2193388;271345;"(written by)  <2,1,2>"
2193388;351719;"(written by)  <2,1,1>"
2193407;276597;"(screenplay)  <1,2,1>"
2193407;276597;"(story)  <2,1,1>"
2193407;349325;"(screenplay)  <1,1,1>"
2193422;61383;"(screenplay)  <2,1,2>"
2193422;61383;"(story)  <1,1,2>"
2193422;181584;"(screenplay)  <2,1,1>"
2193422;181584;"(story)  <1,1,1>"
2193422;366214;"(screenplay)  <2,2,1>"
2193721;76895;"(story)  <1,1,1>"
2193721;330761;"(screenplay)  <2,1,1>"
2193721;330761;"(story)  <1,2,1>"
2194143;45249;"(book)  <2,1,1>"
2194143;70883;"(screenplay)  <1,1,1>"
2194143;334627;"(screenplay)  <1,1,2>"
2194153;314836;"(written by)  <1,1,1>"
2194168;93946;"(screenplay)  <2,1,1>"
2194168;116470;"(book ""Son of Adam"") (as Sir Denis Forman)  <1,1,1>"
2194362;4123;"(contributing writer) (uncredited)"
2194362;151044;"(based on the novel by)  <2,1,1>"
2194362;151044;"(screen play)  <1,1,2>"
2194362;200354;"(uncredited)"
2194362;292716;"(contributing writer) (uncredited)"
2194362;317157;"(screen play)  <1,1,1>"
2194363;30446;""
2194363;40321;""
2194363;119261;""
2194363;151044;"(novel ""1101 Park Avenue"")  <1,1,1>"
2194471;357499;"(story)"
2194471;378934;""
2194580;205502;"(screenplay)"
2194791;332709;"(play ""Henry IV"")  <1,1,1>"
2194791;376120;"(written by)  <2,1,1>"
2195009;31535;"(written by)  <1,1,1>"
2195233;199025;"(short story)"
2195233;199025;"(written by)"
2195417;307875;"(written by)  <1,1,1>"
2196039;48403;"(creator: comic book series)  <2,1,1>"
2196039;78281;"(written by)  <1,1,1>"
2196060;25661;"<2,1,2>"
2196060;61283;"<2,1,6>"
2196060;159272;"(television series Mystery Science Theater 3000)  <1,1,1>"
2196060;176557;"<2,1,7>"
2196060;225973;"<2,1,3>"
2196060;257022;"<2,1,4>"
2196060;262239;"<2,1,1>"
2196060;281960;"<2,1,5>"
2196068;172658;"(written by)"
2196132;185205;"(written by)  <1,1,1>"
2196132;268208;"(written by)  <1,1,2>"
2196454;4671;""
2196454;21452;""
2196454;242309;""
2196886;15783;"(dialogue)"
2196886;229454;"(novel ""The Big Grab"") (as John Trinian)"
2196886;338452;"(adaptation)"
2197021;182919;"(writer)"
2197407;244428;""
2199194;29054;"(written by)  <1,1,1>"
2199218;6983;""
2199868;209176;"(writer)"
2199969;904;"(television series: ""Police Squad"")  <2,1,1>"
2199969;216235;"(written by)  <1,2,2>"
2199969;293635;"(written by)  <1,1,1>"
2199969;406349;"(television series: ""Police Squad"")  <2,1,2>"
2199969;406349;"(written by)  <1,2,1>"
2199969;406353;"(television series ""Police Squad"")  <2,1,3>"
2200121;5940;"(written by) (as Dan Algrant)  <1,1,1>"
2200121;386820;"(written by)  <1,2,1>"
2201125;297234;"(written by)  <1,1,1>"
2201311;121228;"(stories)"
2201311;189966;"(writer)"
2201727;362295;"(written by)  <1,1,1>"
2202537;390464;""
2202537;398813;"(novel)"
2202732;316594;"(screenplay)  <2,1,2>"
2202732;351632;"(screenplay)  <2,1,3>"
2202732;359552;"(story)  <1,1,1>"
2202732;378267;"(screenplay)  <2,1,1>"
2202880;301049;"(writer)"
2204067;32618;"(written by)  <1,1,1>"
2204067;301042;"(written by)  <1,2,1>"
2204532;189747;"(book)  <1,1,1>"
2204532;305416;"(screenplay)  <2,1,1>"
2205117;50225;""
2205117;309254;""
2205227;147344;"(play ""Idioglossia"")  <1,1,1>"
2205227;147344;"(screenplay)  <2,2,1>"
2205227;264041;"(screenplay)  <2,1,1>"
2205327;112472;""
2205327;323729;""
2205327;372775;""
2206238;115899;""
2206238;360124;""
2206242;62268;"(by)  <1,1,1>"
2206516;193300;"(written by)  <1,1,1>"
2206516;337813;"(written by)  <1,1,2>"
2206541;73057;"(narration written by)  <3,2,1>"
2206541;121697;"(uncredited)"
2206541;146766;"(screenplay)  <2,2,1>"
2206541;147956;"(screenplay)  <2,1,1>"
2206541;191569;"(screenplay)  <2,3,1>"
2206541;219655;"(narration written by)  <3,3,1>"
2206541;255116;"(based on the book by)  <1,1,1>"
2206541;341605;"(narration written by) (as C.M. Smith)  <3,1,1>"
2206656;188261;"(written by)  <1,1,1>"
2206740;138231;"(written by) (as Lewis Green)  <1,1,1>"
2206740;316054;"(written by)  <1,1,2>"
2207203;133647;"(screenplay)"
2207203;133647;"(story)"
2207203;230122;"(story)"
2207291;75331;"(characters)  <1,1,1>"
2207291;75331;"(written by)  <2,1,1>"
2207384;111437;"(screenplay)  <2,1,1>"
2207384;129408;"(short story)  <1,1,1>"
2207384;406039;"(screenplay)  <2,1,2>"
2207954;372100;"(written by)  <1,1,1>"
2207954;391784;"(written by)  <1,1,2>"
2208048;77044;"(characters)  <1,1,1>"
2208048;77044;"(written by)  <2,1,1>"
2208048;290403;"(characters)  <1,1,2>"
2208084;9165;"(writer)"
2208084;377617;"(writer)"
2208430;41043;"(written by)  <1,1,1>"
2208430;42628;"(written by) (as Richard Breen)  <1,2,1>"
2208430;302576;"(written by)  <1,1,2>"
2208474;389423;"(written by)  <1,1,1>"
2208962;97889;"(written by)  <1,1,1>"
2209075;270068;"(screenplay)"
2209608;79927;"(novel ""Tainted Evidence"")  <1,1,1>"
2209608;219953;"(screenplay)  <2,1,1>"
2209821;124055;"(written by)  <1,1,1>"
2209821;226600;"(written by)  <1,2,1>"
2209901;149163;"(screenplay)  <1,1,1>"
2209901;149163;"(short story ""The Call of the Sea"") (uncredited)  <2,1,1>"
2210137;100183;"(written by) (as Thom Eberhardt)  <1,1,1>"
2210139;86917;"(written by)  <1,1,1>"
2210196;311303;"(screenplay) (as George Romero)  <1,1,2>"
2210196;316415;"(screenplay) (as John Russo)  <1,1,1>"
2210254;172658;"(written by)  <1,1,1>"
2210356;332361;"(screenplay)  <1,1,1>"
2210356;332361;"(story)  <2,1,1>"
2210356;356264;"(story)  <2,2,1>"
2210519;35642;"(writer)"
2210519;76498;"(writer)"
2210617;38726;"(film Nattevagten)  <1,1,1>"
2210617;38726;"(screenplay)  <2,1,1>"
2210617;343511;"(screenplay)  <2,2,1>"
2210872;31307;""
2211077;271032;"(screenplay)"
2211223;170730;""
2211282;186729;""
2211282;189780;""
2211282;192415;""
2211282;239869;"(novel)"
2211336;42037;"(film ""Neuf mois"")  <1,1,1>"
2211336;70275;"(screenplay)  <2,1,1>"
2211395;273405;"(novel 1984)  <1,1,1>"
2211395;296878;"(written by)  <2,1,1>"
2211751;41043;"(screen play)  <1,1,1>"
2211751;209821;"(based on the original story by)  <2,1,1>"
2211751;302576;"(screen play)  <1,3,1>"
2211751;393003;"(screen play)  <1,2,1>"
2212209;307017;"(written by)  <1,1,1>"
2212209;351632;"(written by)  <1,1,3>"
2212209;393338;"(written by)  <1,1,2>"
2212660;126760;"(screenplay)  <2,1,1>"
2212660;140390;"(screenplay)  <2,2,1>"
2212660;155249;"(novel ""The Penal Colony"")  <1,1,1>"
2212954;49117;"(written by)  <1,1,1>"
2213122;54584;"(as Jim Carabatsos)"
2213622;37281;"(screenplay) (as Charles Bolt)  <2,1,1>"
2213622;37281;"(story) (as Charles Bolt)  <1,1,1>"
2213622;255808;"(screenplay)  <2,1,2>"
2213866;109579;"(novel ""The Big Clock"")  <1,1,1>"
2213866;125411;"(screen story)  <2,1,1>"
2213866;125411;"(screenplay)  <3,1,1>"
2214546;29054;"(screenplay)  <2,1,1>"
2214546;316440;"(novel)  <1,1,1>"
2216031;146022;"(written by)  <1,1,1>"
2216031;326614;"(written by)  <1,1,2>"
2216145;325259;"(screenplay)  <2,2,1>"
2216145;406628;"(novel)  <1,1,1>"
2216145;406628;"(screenplay)  <2,1,1>"
2216176;95363;"(uncredited)"
2216176;106468;"(uncredited)"
2216176;127597;"(novel)  <1,1,1>"
2216176;127597;"(screenplay)  <2,2,2>"
2216176;195319;"(screenplay)  <2,1,2>"
2216176;399721;"(screenplay)  <2,1,1>"
2216295;6474;"(novel ""The North Star"") (as Will Henry)  <1,1,1>"
2216295;50721;"(story) (as Giles Behat)  <2,1,1>"
2216295;94007;"(screenplay)  <3,2,1>"
2216295;94013;"(screenplay)  <3,1,1>"
2216295;129509;"(uncredited)"
2216295;270408;"(screenplay)  <3,3,1>"
2216295;328233;"(story)  <2,2,1>"
2216316;208894;"(written by)  <1,1,1>"
2216640;5849;"(story)"
2216640;52876;"(writer)"
2216640;219332;"(story)"
2216640;347055;"(uncredited)"
2216642;122837;"(screen play)"
2216642;351320;"(novel ""Dracula"") (uncredited)"
2217530;16821;"(screenplay)  <2,1,1>"
2217530;16822;"(story)  <1,1,1>"
2217636;253346;""
2217693;289230;"(written by)"
2217693;292614;"(written by)"
2217718;44871;""
2217718;77112;""
2217782;116043;"(story ""The Song of the Dragon"") (uncredited)"
2217782;152742;"(written by)  <1,1,1>"
2217782;158589;"(screenplay contributor) (uncredited)"
2217782;269875;"(dialogue: love scenes) (uncredited)"
2217888;78136;"(written by)  <1,1,1>"
2218486;189549;"(written by)  <1,1,1>"
2218524;11887;"(written by)  <1,1,1>"
2219070;257896;""
2219442;1439;"(scenario)  <3,1,3>"
2219442;108625;"(as J. Jefferson Farjeon)  <1,1,1>"
2219442;108625;"(play ""Number Seventeen"") (as J. Jefferson Farjeon)  <2,1,1>"
2219442;158589;"(scenario)  <3,1,2>"
2219442;303551;"(scenario)  <3,1,1>"
2219779;114355;"(screenplay)  <2,1,2>"
2219779;304942;"(screenplay)  <2,1,1>"
2219779;304942;"(story)  <1,1,1>"
2219992;35095;"(screenplay)  <3,1,1>"
2219992;35095;"(story)  <2,2,1>"
2219992;212115;"(characters)  <1,1,1>"
2219992;269944;"(story)  <2,1,1>"
2219992;334060;"(screenplay)  <3,1,2>"
2219992;334060;"(story)  <2,2,2>"
2219992;389522;"(screenplay)  <3,2,2>"
2219992;389524;"(screenplay)  <3,2,1>"
2220554;88553;""
2220554;108501;""
2221102;31248;"(inspired by an idea from)  <2,1,1>"
2221102;85131;"(scenario and dialogue)  <1,1,1>"
2222143;122122;"(novel ""O Que é Isso, Companheiro?"")"
2222143;331682;""
2224890;69506;"(screenplay)  <2,1,1>"
2224890;156802;"(book ""Rocket Boys"")  <1,1,1>"
2225574;68767;"(screen play)  <1,1,1>"
2225574;69325;"(dialogue) (uncredited)"
2225574;234693;"(from the novel by)  <2,1,1>"
2225605;6690;"(book)  <1,1,1>"
2225605;119112;"(screenplay)  <2,1,1>"
2225624;116042;"(screenplay)  <2,1,1>"
2225624;349282;"(novel ""Of Mice and Men"")  <1,1,1>"
2226062;152191;"(additional dialogue) (uncredited)"
2226062;180265;""
2226062;222161;""
2226062;334710;"(story)"
2226103;178334;"(Milton animated shorts)  <1,1,1>"
2226103;178334;"(screenplay)  <2,1,1>"
2227800;209241;"(additional writing)"
2227800;226320;""
2227800;357170;"(adaptation)"
2227800;364958;""
2227800;376854;""
2228369;130806;"(book ""Old Yeller"")  <2,1,1>"
2228369;130806;"(screenplay)  <1,1,1>"
2228369;370898;"(screenplay)  <1,1,2>"
2228704;6707;"(story)  <2,1,8>"
2228704;18414;"(story)  <2,1,5>"
2228704;59285;"(story)  <2,1,11>"
2228704;74766;"(screenplay)  <1,1,1>"
2228704;91091;"(novel ""Oliver Twist"")  <4,1,1>"
2228704;92430;"(screenplay) (as Timothy J. Disney)  <1,1,2>"
2228704;122208;"(story)  <2,1,2>"
2228704;128334;"(story)  <2,1,1>"
2228704;136653;"(additional story material)  <3,1,1>"
2228704;136758;"(additional story material) (as Samuel Graham)  <3,1,2>"
2228704;163836;"(additional story material)  <3,1,3>"
2228704;164706;"(additional story material)  <3,1,4>"
2228704;177394;"(story)  <2,1,13>"
2228704;213722;"(story)  <2,1,10>"
2228704;226902;"(screenplay)  <1,1,3>"
2228704;227090;"(story) (uncredited)"
2228704;227125;"(additional story material)  <3,1,5>"
2228704;244495;"(story) (as Dave Michener)  <2,1,7>"
2228704;248067;"(story)  <2,1,4>"
2228704;299023;"(story)  <2,1,3>"
2228704;369588;"(story)  <2,1,9>"
2228704;396169;"(story)  <2,1,6>"
2228704;402400;"(story) (as Pete Young)  <2,1,12>"
2228754;23178;"(book by)  <1,1,1>"
2228754;91091;"(freely adapted from ""Oliver Twist"" by)  <3,1,1>"
2228754;149636;"(screenplay)  <2,1,1>"
2229633;363771;"(based on his play)  <2,1,1>"
2229633;363771;"(screenplay)  <1,1,1>"
2229656;114653;"(novel) (uncredited)  <3,1,1>"
2229656;224780;"(screenplay)  <2,1,1>"
2229656;300095;"(additional dialogue)  <1,1,1>"
2229787;43031;"(screenplay)  <1,2,1>"
2229787;268733;"(James Stewart-Henry Fonda material by)  <4,1,1>"
2229787;269602;"(original story)  <3,1,1>"
2229787;347666;"(screenplay)  <1,1,1>"
2230251;280953;"(screenplay)  <1,1,1>"
2230251;336416;"(novel)  <2,1,1>"
2230871;70390;"(based upon the musical play whose book was by)  <2,2,1>"
2230871;70390;"(screenplay)  <1,2,1>"
2230871;138017;"(based upon the musical play whose book was by)  <2,1,1>"
2230871;138017;"(screenplay)  <1,1,1>"
2230871;307566;"(idea)  <3,1,1>"
2230917;175763;"(suggested by articles by)  <3,1,1>"
2230917;327607;"(based upon an original story by)  <2,1,1>"
2230917;327607;"(screenplay)  <1,1,1>"
2231247;12194;"<2,1,4>"
2231247;29091;"<2,1,1>"
2231247;83667;"<2,1,2>"
2231247;111835;"<2,1,5>"
2231247;126130;"(uncredited)"
2231247;139306;"(novel ""The Hoods"")  <1,1,1>"
2231247;180747;"(additional dialogue)  <3,1,1>"
2231247;210246;"<2,1,6>"
2231247;240634;"<2,1,3>"
2231307;72172;"(screenplay)  <2,1,1>"
2231307;360108;"(book)  <1,1,1>"
2231336;45771;""
2231336;97262;"(novel)"
2231697;160252;"(written by)  <1,1,1>"
2231855;399798;"(written by)  <1,1,1>"
2231882;104613;"(written by)  <1,1,2>"
2231882;364357;"(written by)  <1,1,1>"
2231896;330771;"(written by)  <1,1,1>"
2231896;338264;"(written by)  <1,2,1>"
2231909;133034;"(screenplay)  <1,2,1>"
2231909;151224;"(screenplay)  <1,1,1>"
2231909;186978;"(novel)  <2,1,1>"
2231909;387098;"(play version ""One Flew Over the Cuckoo's Nest"")  <3,1,1>"
2232226;345670;"(written by)  <1,1,1>"
2232255;38912;"(story)  <1,1,2>"
2232255;152495;"(story)  <1,1,3>"
2232255;240755;"(story)  <1,1,1>"
2232255;240755;"(written by)  <2,1,1>"
2232299;127379;"(written by)  <1,1,1>"
2232552;112506;"(written by)  <1,1,1>"
2232980;91461;"(book)  <1,1,1>"
2232980;140398;"(book)  <1,2,1>"
2232980;166801;"(screen story)  <2,1,1>"
2232980;166801;"(screenplay)  <3,1,1>"
2233001;76143;"(screenplay)  <2,1,1>"
2233001;296052;"(novel)  <1,1,1>"
2233552;106360;"(screenplay)  <1,1,1>"
2233552;167316;"(screenplay)  <1,2,1>"
2233552;294867;"(poem ""Yevgeny Onegin"")  <1,1,1>"
2233759;121760;"(screen play)  <1,1,1>"
2233759;139499;"(contributor to treatment) (uncredited)"
2233759;151716;"(story ""Plane from Barranca"") (uncredited)"
2233759;299126;"(contributor to treatment) (uncredited)"
2233885;95896;"(written by)  <1,1,1>"
2234951;61638;""
2234951;273467;"(novel ""The All Americans"")"
2234951;273467;"(screenplay)"
2234951;356895;"(only in Spanish credits) (as J. Sainz)"
2235378;195472;"(written by)  <2,2,1>"
2235378;253588;"(story) (as Jim Morris)  <1,1,1>"
2235378;296251;"(written by)  <2,1,1>"
2235600;24888;"(screenplay)  <2,1,3>"
2235600;149961;"(dialogue)"
2235600;244820;"(screenplay)  <2,1,1>"
2235600;244820;"(story)  <1,1,1>"
2235600;260779;"(screenplay)  <2,1,2>"
2235600;260779;"(story)  <1,1,2>"
2236433;95363;"(uncredited)  <3,1,1>"
2236433;141711;"(novel)  <1,1,1>"
2236433;322738;"(screenplay)  <2,1,1>"
2236640;278641;"(written by)  <1,1,1>"
2236640;351602;"(written by) (uncredited)"
2236888;299861;"(written by) (as Aubrey Rattan)  <1,1,1>"
2237013;291522;""
2237013;398204;"(novel)"
2237801;55066;"(novel)"
2237801;176943;"(screenplay)"
